user,staked,unstaked,total,factor
0x3dc0eb643308815a23e0ed4dc35848062743f93b,17,0,17,100
0x3dfc3e45e186ac069b8a05bdc7747482faba3493,0,0,0,0
0x3e0943a372f6849cd54cd5bf0c1fe899fd0abe43,17,0,17,100
0x3e2e2d44960e041fca5f4919d524a2ce76b7ab03,1,0,1,100
0x3eadb55cb2b7c30c6f966a33139b338a3affbdb0,0,2,2,0
0x3eb1ccf2f279fc5497d8bc173080bf69ba42b909,1,0,1,100
0x3ebc3728e10e13c440259365bac4ab62451db542,3,0,3,100
0x3f0a3ddb1218620a15ef9855ed86668935db1bbc,1,0,1,100
0x3f267b7d8d03665982a13cef2b19d1e4a7f83740,0,1,1,0
0x3fa021bb6d2b7310c65f2a47a0d25cb8001d5175,1,0,1,100
0x3fa038959023237662366b61f94776c5063d3d0a,3,0,3,100
